排名,名称,价格,发行日期,详情页地址
68,Resistance (At All Costs): How Trump Haters Are Breaking America,$17.99,2019-10-15,https://www.amazon.com/Resistance-At-All-Costs-Breaking/dp/1538701774/ref=zg_bsnr_283155_68/142-4637376-5209023?_encoding=UTF8&psc=1&refRID=T2HK3NDPQWWCBMA6EJBX
69,Ninth House,$16.79,2019-10-08,https://www.amazon.com/Ninth-House-Leigh-Bardugo/dp/1250313074/ref=zg_bsnr_283155_69/142-4637376-5209023?_encoding=UTF8&psc=1&refRID=T2HK3NDPQWWCBMA6EJBX
70,The Wholesome Yum Easy Keto Cookbook: 100 Simple Low Carb Recipes. 10 Ingredients or Less,$20.49,2019-10-22,https://www.amazon.com/Wholesome-Yum-Easy-Keto-Cookbook/dp/198482662X/ref=zg_bsnr_283155_70/142-4637376-5209023?_encoding=UTF8&psc=1&refRID=T2HK3NDPQWWCBMA6EJBX
71,If It Bleeds,$21.00,2020-05-05,https://www.amazon.com/If-Bleeds-Stephen-King/dp/1982137975/ref=zg_bsnr_283155_71/142-4637376-5209023?_encoding=UTF8&psc=1&refRID=T2HK3NDPQWWCBMA6EJBX
72,The Walking Dead Compendium Volume 4,$38.98,2019-10-08,https://www.amazon.com/Walking-Dead-Compendium-4/dp/1534313400/ref=zg_bsnr_283155_72/142-4637376-5209023?_encoding=UTF8&psc=1&refRID=T2HK3NDPQWWCBMA6EJBX
73,Revolution Q,$19.27,2019-11-06,https://www.amazon.com/Revolution-Q-Neon-Revolt/dp/1949709590/ref=zg_bsnr_283155_73/142-4637376-5209023?_encoding=UTF8&psc=1&refRID=T2HK3NDPQWWCBMA6EJBX
74,Love Poems for People with Children,$10.38,2019-10-15,https://www.amazon.com/Love-Poems-People-Children-Kenney/dp/0593085248/ref=zg_bsnr_283155_74/142-4637376-5209023?_encoding=UTF8&psc=1&refRID=T2HK3NDPQWWCBMA6EJBX
75,Resistance Reborn (Star Wars): Journey to Star Wars: The Rise of Skywalker,$22.92,2019-11-05,https://www.amazon.com/Resistance-Reborn-Star-Wars-Skywalker/dp/0593128427/ref=zg_bsnr_283155_75/142-4637376-5209023?_encoding=UTF8&psc=1&refRID=T2HK3NDPQWWCBMA6EJBX
76,The Meaning of Marriage: A Couple's Devotional: A Year of Daily Devotions,$18.00,2019-11-05,https://www.amazon.com/Meaning-Marriage-Couples-Devotional-Devotions/dp/0525560777/ref=zg_bsnr_283155_76/142-4637376-5209023?_encoding=UTF8&psc=1&refRID=T2HK3NDPQWWCBMA6EJBX
77,The Ruthless Elimination of Hurry: How to Stay Emotionally Healthy and Spiritually Alive in the Chaos of the Modern World,$21.59,2019-10-29,https://www.amazon.com/Ruthless-Elimination-Hurry-Emotionally-Spiritually/dp/0525653090/ref=zg_bsnr_283155_77/142-4637376-5209023?_encoding=UTF8&psc=1&refRID=T2HK3NDPQWWCBMA6EJBX
78,Open Borders: The Science and Ethics of Immigration,$14.99,2019-10-29,https://www.amazon.com/Open-Borders-Science-Ethics-Immigration/dp/1250316960/ref=zg_bsnr_283155_78/142-4637376-5209023?_encoding=UTF8&psc=1&refRID=T2HK3NDPQWWCBMA6EJBX
79,The Queen of Nothing (The Folk of the Air),$13.99,2019-11-19,https://www.amazon.com/Queen-Nothing-Folk-Air/dp/0316310425/ref=zg_bsnr_283155_79/142-4637376-5209023?_encoding=UTF8&psc=1&refRID=T2HK3NDPQWWCBMA6EJBX
80,Poilâne: The Secrets of the World-Famous Bread Bakery,$25.49,2019-10-29,https://www.amazon.com/Poil%C3%A2ne-Secrets-World-Famous-Bread-Bakery/dp/132881078X/ref=zg_bsnr_283155_80/142-4637376-5209023?_encoding=UTF8&psc=1&refRID=T2HK3NDPQWWCBMA6EJBX
81,The Old Success (A Richard Jury Mystery),$17.74,2019-11-05,https://www.amazon.com/Old-Success-Martha-Grimes/dp/0802147402/ref=zg_bsnr_283155_81/142-4637376-5209023?_encoding=UTF8&psc=1&refRID=T2HK3NDPQWWCBMA6EJBX
82,Super Human: The Bulletproof Plan to Age Backward and Maybe Even Live Forever,$17.39,2019-10-08,https://www.amazon.com/Super-Human-Bulletproof-Backward-Forever/dp/0062882821/ref=zg_bsnr_283155_82/142-4637376-5209023?_encoding=UTF8&psc=1&refRID=T2HK3NDPQWWCBMA6EJBX
83,What Happens in Paradise (Paradise (2)),$19.69,2019-10-08,https://www.amazon.com/What-Happens-Paradise-Elin-Hilderbrand/dp/0316435570/ref=zg_bsnr_283155_83/142-4637376-5209023?_encoding=UTF8&psc=1&refRID=T2HK3NDPQWWCBMA6EJBX
84,Small Doses,$20.70,2019-10-22,https://www.amazon.com/Small-Doses-Potent-Truths-Everyday/dp/1419734504/ref=zg_bsnr_283155_84/142-4637376-5209023?_encoding=UTF8&psc=1&refRID=T2HK3NDPQWWCBMA6EJBX
