排名,币种,价格,24H涨跌幅,24H成交额,市值,流通量,图片地址
55,字节币,0.00027149,-0.52%,"3,438.01","4,992.03万","1,838.79亿",https://img.jinse.com/jinse_1565839373845560678
70,Verge,0.00342464,-1.95%,"472,838.72","4,953.75万",144.65亿,https://resource.jinse.com/phenix/img/coin/XVG.png
1869,比特流,0.00028586,-0.29%,636.08万,"4,871.74万","1,704.21亿",https://img.jinse.com/1559739_image20.png
2922,Matic Token,0.0151,0.69%,917.1万,"4,864.2万",32.3亿,https://img.jinse.com/jinse_1565861688983623297
2920,Fetch.AI,0.041,7.07%,511.83万,"4,730.95万",11.53亿,https://img.jinse.com/jinse_1566272385577374314
91,超级现金,1.0607,-1.05%,"483,391.8","4,606.44万","4,342.84万",https://img.jinse.com/1619735_image20.png
3138,玉石链,0.0153,-12.66%,"44,829.62","4,569万",30亿,https://img.jinse.com/jinse_1568865030133351659
105,红烧肉,1.0616,-0.62%,"274,714.22","4,480.72万","4,220.64万",https://img.jinse.com/jinse_1566294055582892347
3065,NEX,0.8478,-7.97%,138.53万,"4,238.82万","5,000万",https://img.jinse.com/jinse_1568183439081306844
93,币乎,0.001693,1.2%,"15,634.61","4,232.5万",250亿,None
54,斯蒂姆币,0.1225,-0.61%,"205,576.25","4,122.5万",3.37亿,https://img.jinse.com/831109_image20.png
53,比特股,0.015,-0.89%,123.39万,"4,117.17万",27.36亿,https://img.jinse.com/831140_image20.png
153,QNT,3.4066,-1.62%,"14,623.7","4,112.74万","1,207.27万",https://img.jinse.com/jinse_1566272375525194723
262,YOU Chain,0.0379,-1.08%,981.3万,"4,039.29万",10.66亿,https://img.jinse.com/currencies/youchain
84,阿朵币,0.0389,2.85%,"190,209.06","3,888.48万",9.99亿,https://img.jinse.com/516525_image20.png
228,Energi,1.9642,-4.6%,"473,387.27","3,725.28万","1,896.58万",https://img.jinse.com/jinse_1567741149070427035
86,REPO,0.333,0,"38,261.07","3,661.62万",1.1亿,None
137,算力币,0.7957,-0.46%,390.45万,"3,580.61万","4,500万",https://img.jinse.com/jinse_1567670361188125807
61,阿姨币,0.1294,0.5%,207万,"3,577.46万",2.76亿,https://img.jinse.com/831137_image20.png
